citation,adscode,comment
Baade1934pnas,1934PNAS...20..254B,"On Super-novae"
Fermi1949phrv,1949PhRv...75.1169F,"On the Origin of the Cosmic Radiation"
TerHaar1950rvmp,1950RvMP...22..119T,"Cosmogonical Problems and Stellar Energy"
TheBible,1990acr..book.....B,"Astrophysics of cosmic rays"
