citation,adscode,comment
Jaehong2015prl,2015PhRvL.114h5003P,
Johannesson2019apj,2019ApJ...879...91J,
Kachelriess2015prl,2015PhRvL.115r1103K,
Kachelriess2018prd,2018PhRvD..97f3011K,
Kamae2006apj,2006ApJ...647..692K,
Kargaltsev2008aipc,2008AIPC..983..171K,"Pulsar Wind Nebulae in the Chandra Era"
Kiepenheuer1950,1950PhRv...79..738K,
Kobayashi2004apj,2004ApJ...601..340K,
Kotera2015jcap,2015JCAP...08..026K,
Lipari2017prd,2017PhRvD..95f3009L,"Interpretation of the cosmic ray positron and antiproton fluxes"
Lipari2019prd,2019PhRvD..99d3005L,
Lorimer2006mnras,2006MNRAS.372..777L,
LopezCoto2022arxiv,2022arXiv220206899L,"Gamma-ray halos around pulsars as the key to understanding cosmic ray transport in the Galaxy"
Malkov2013apj,2013ApJ...768...73M,"Analytic Solution for Self-regulated Collective Escape of Cosmic Rays from Their Acceleration Sites"
Manconi2017jcap,2017JCAP...01..006M,"Dipole anisotropy in cosmic electrons and positrons: inspection on local sources"
Manconi2019jcap,2019JCAP...04..024M,"Multi-messenger constraints to the local emission of cosmic-ray electrons"
Manconi2020prd,2020PhRvD.102b3015M,"Contribution of pulsars to cosmic-ray positrons in light of recent observation of inverse-Compton halos"
Maurin2020crdb,2020Univ....6..102M,
Meyer1961,1961JGR....66.3950M,
Mertsch2009prl,2009PhRvL.103h1104M,
Mertsch2011jcap,2011JCAP...02..031M,
Mertsch2021prd,2021PhRvD.104j3029M,"Explaining cosmic ray antimatter with secondaries from old supernova remnants"
Moskalenko1998apj,1998ApJ...493..694M,
Moskalenko2006apj,2006ApJ...640L.155M,
Muller1990icrc,1990ICRC....3..249M,
Nava2016mnras,2016MNRAS.461.3552N,"Non-linear diffusion of cosmic rays escaping from supernova remnants - I. The effect of neutrals"
Nava2019mnras,2019MNRAS.484.2684N,"Non-linear diffusion of cosmic rays escaping from supernova remnants - II. Hot ionized media"
Olmi2019mnras,2019MNRAS.490.3608O,"On the origin of jet-like features in bow shock pulsar wind nebulae"
Orusa2021jcap,2021JCAP...12..014O,"Constraining positron emission from pulsar populations with AMS-02 data"
Parthasarathy2020mnras,2020MNRAS.494.2012P,
Phan2021prl,2021PhRvL.127n1101P,"Stochastic Fluctuations of Low-Energy Cosmic Rays and the Interpretation of Voyager Data"
Profumo2012,2012CEJPh..10....1P,
Protheroe1982,1982ApJ...254..391P,
Ptuskin2008adspr,2008AdSpR..42..486P,"Non-linear diffusion of cosmic rays"
Recchia2019prd,2019PhRvD..99j3022R,
Schlickeiser2010njph,2010NJPh...12c3044S,
Sedov1959,1959sdmm.book.....S,
Serpico2009prd,2009PhRvD..79b1302S,
Serpico2012aph,2012APh....39....2S,
Schroer2021apj,2021ApJ...914L..13S,"Dynamical Effects of Cosmic Rays on the Medium Surrounding Their Sources"
Schroer2022arxiv,2022arXiv220205814S,"Cosmic-ray generated bubbles around their sources"
Stawarz2010apj,2010ApJ...710..236S,
SteimanCameron2010apj,2010ApJ...722.1460S,
Steppa2020aa,2020A&A...643A.137S,
Sudoh2019prd,2019PhRvD.100d3016S,
Syrovatskii1959,1959SvA.....3...22S,
Taillet2003aa,2003A&A...402..971T,
Taylor1950,1950RSPSA.201..159T,
Tomassetti2012apj,2012ApJ...752L..13T,
Torres2014jheap,2014JHEAp...1...31T,
Vallee2017astrv,2017AstRv..13..113V,
Vernetto2016prd,2016PhRvD..94f3009V,"Absorption of very high energy gamma rays in the Milky Way"
Vink2012aarv,2012A&ARv..20...49V,"Supernova remnants: the X-ray perspective"
Watters2011apj,2011ApJ...727..123W,"The Galactic Population of Young γ-ray Pulsars"
Wegg2015mnras,2015MNRAS.450.4050W,"The structure of the Milky Way's bar outside the bulge"
Weinrich2020aaa,2020A&A...639A..74W,"Galactic halo size in the light of recent AMS-02 data"
Weinrich2020aab,2020A&A...639A.131W,"Combined analysis of AMS-02 (Li,Be,B)/C, N/O, 3He, and 4He data"
Yuksel2009prl,2009PhRvL.103e1101Y,
Zirakashvili2007aa,2007A&A...465..695Z,"Analytical solutions for energy spectra of electrons accelerated by nonrelativistic shock-waves in shell type supernova remnants"
TheBible,1990acr..book.....B,
